Head,Relation,Tail,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text,Clean Original Tail,Tail First Tokens
council figure,provide,appropriation,details of the use of appropriations carried over also,"['details', 'use', 'appropriations']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 248  Monthly reporting on budget implementation ,"['\nIn addition to the annual statements and reports provided for in Articles 243 and 244, the accounting officer of the \nCommission shall send once a month to the European Parliament and to the Council figures, aggregated at chapter level \nat least, as well as separately broken down by chapter, article and item, on budget implementation, both for revenue and \nfor expenditure covering all available appropriations. Those figures shall also provide details of the use of appropriations \ncarried over. \nThe figures shall be made available within 10 working days of the end of each month via the Commission’s website. ']",details of the use of appropriations carried over also,details of the use of appropriations carried over
council figure,make,10 working day,within 10 working days of the end of each month via the commissions website,"['10 working days', 'end', 'month', 'commissions website']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 248  Monthly reporting on budget implementation ,"['\nIn addition to the annual statements and reports provided for in Articles 243 and 244, the accounting officer of the \nCommission shall send once a month to the European Parliament and to the Council figures, aggregated at chapter level \nat least, as well as separately broken down by chapter, article and item, on budget implementation, both for revenue and \nfor expenditure covering all available appropriations. Those figures shall also provide details of the use of appropriations \ncarried over. \nThe figures shall be made available within 10 working days of the end of each month via the Commission’s website. ']",within 10 working days of the end of each month via the commissions website,within 10 working days of the end of
union institution,refer,budgetary financial management,shall prepare a report on budgetary and financial management for the financial year to in article 241,"['report', 'budgetary financial management', 'financial year', 'article']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 249  Annual report on budgetary and financial management ,"[' \nEach Union institution and each body referred to in Article 241 shall prepare a report on budgetary and financial \nmanagement for the financial year. \nThey shall make the report available to the European Parliament, to the Council and to the Court of Auditors, by \n31 March of the following financial year. ', ' \nThe report referred to in paragraph 1 shall provide summary information on the transfers of appropriations among \nthe various budgetary items. ']",shall prepare a report on budgetary and financial management for the financial year to in article 241,shall prepare a report on budgetary and financial
union institution,prepare,budgetary financial management,a report on budgetary and financial management for the financial year,"['report', 'budgetary financial management', 'financial year']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 249  Annual report on budgetary and financial management ,"[' \nEach Union institution and each body referred to in Article 241 shall prepare a report on budgetary and financial \nmanagement for the financial year. \nThey shall make the report available to the European Parliament, to the Council and to the Court of Auditors, by \n31 March of the following financial year. ', ' \nThe report referred to in paragraph 1 shall provide summary information on the transfers of appropriations among \nthe various budgetary items. ']",a report on budgetary and financial management for the financial year,a report on budgetary and financial management for
union institution,make,budgetary financial management,a report on budgetary and financial management available to the european parliament to the council and to the court of auditors by 31 march of the financial year,"['report', 'budgetary financial management', 'european parliament', 'council', 'court', 'auditors', '31 march', 'financial year']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 249  Annual report on budgetary and financial management ,"[' \nEach Union institution and each body referred to in Article 241 shall prepare a report on budgetary and financial \nmanagement for the financial year. \nThey shall make the report available to the European Parliament, to the Council and to the Court of Auditors, by \n31 March of the following financial year. ', ' \nThe report referred to in paragraph 1 shall provide summary information on the transfers of appropriations among \nthe various budgetary items. ']",a report on budgetary and financial management available to the european parliament to the council and to the court of auditors by 31 march of the financial year,a report on budgetary and financial management available
budgetary financial management,refer,paragraph,shall provide summary information on the transfers of appropriations among the various budgetary items to in paragraph 1,"['summary information', 'transfers', 'appropriations', 'budgetary items', 'paragraph']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 249  Annual report on budgetary and financial management ,"[' \nEach Union institution and each body referred to in Article 241 shall prepare a report on budgetary and financial \nmanagement for the financial year. \nThey shall make the report available to the European Parliament, to the Council and to the Court of Auditors, by \n31 March of the following financial year. ', ' \nThe report referred to in paragraph 1 shall provide summary information on the transfers of appropriations among \nthe various budgetary items. ']",shall provide summary information on the transfers of appropriations among the various budgetary items to in paragraph 1,shall provide summary information on the transfers of
budgetary financial management,provide,information,summary information on the transfers of appropriations among the various budgetary items,"['information', 'transfers', 'appropriations', 'budgetary items']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 249  Annual report on budgetary and financial management ,"[' \nEach Union institution and each body referred to in Article 241 shall prepare a report on budgetary and financial \nmanagement for the financial year. \nThey shall make the report available to the European Parliament, to the Council and to the Court of Auditors, by \n31 March of the following financial year. ', ' \nThe report referred to in paragraph 1 shall provide summary information on the transfers of appropriations among \nthe various budgetary items. ']",summary information on the transfers of appropriations among the various budgetary items,summary information on the transfers of appropriations among
information,make,time,at the same time,['time'],TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,"Article 250  Annual report on financial instruments, budgetary guarantees and financial assistance ","['\nThe Commission shall report annually to the European Parliament and to the Council on financial instruments, budgetary \nguarantees, financial assistance and contingent liabilities in accordance with Article 41(4) and (5) and with points (d) and \n(e) of Article 52(1). That information shall be made available to the Court of Auditors at the same time. ']",at the same time,at the same time
accounting officer,send,financial year,a report containing information on current risks noted general trends observed new accounting issues encountered and progress on accounting matters including where identified by the court of auditors as well as information on recoveries by 15 september of each financial year to the european parliament and to the council,"['report', 'information', 'current risks', 'general trends', 'new accounting issues', 'accounting matters', 'court', 'auditors', 'information', 'recoveries', '15 september', 'financial year', 'european parliament', 'council']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 251  Status report on accounting issues ,"['\nBy 15 September of each financial year, the accounting officer of the Commission shall send to the European Parliament \nand to the Council a report containing information on current risks noted, general trends observed, new accounting \nissues encountered and progress on accounting matters, including where identified by the Court of Auditors, as well as \ninformation on recoveries. ']",a report containing information on current risks noted general trends observed new accounting issues encountered and progress on accounting matters including where identified by the court of auditors as well as information on recoveries by 15 september of each financial year to the european parliament and to the council,a report containing information on current risks noted
union trust fund,approve,union trust fund,the annual report of the union trust fund drawn up by the authorising officer,"['annual report', 'union trust fund', 'authorising officer']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 252  Reporting on Union trust funds for external actions ,"['\nIn accordance with Article 41(6), the Commission shall report annually to the European Parliament and to the Council on \nthe activities supported by Union trust funds referred to in Article 234, on their implementation and performance, as well \nas on their accounts. \nThe Board of the Union trust fund concerned shall approve the annual report of the Union trust fund drawn up by the \nauthorising officer. It shall also approve the final accounts drawn up by the accounting officer. The final accounts shall be \npresented by the Board to the European Parliament and Council in the context of the discharge procedure for the \nCommission.   \x0c ']",the annual report of the union trust fund drawn up by the authorising officer,the annual report of the union trust fund
union trust fund,approve,authorise officer,the final accounts drawn up by the authorising officer also,"['final accounts', 'authorising officer']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 252  Reporting on Union trust funds for external actions ,"['\nIn accordance with Article 41(6), the Commission shall report annually to the European Parliament and to the Council on \nthe activities supported by Union trust funds referred to in Article 234, on their implementation and performance, as well \nas on their accounts. \nThe Board of the Union trust fund concerned shall approve the annual report of the Union trust fund drawn up by the \nauthorising officer. It shall also approve the final accounts drawn up by the accounting officer. The final accounts shall be \npresented by the Board to the European Parliament and Council in the context of the discharge procedure for the \nCommission.   \x0c ']",the final accounts drawn up by the authorising officer also,the final accounts drawn up by the authorising
accounting officer,present,union trust fund,by the board of the union trust fund,"['board', 'union trust fund']",TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 252  Reporting on Union trust funds for external actions ,"['\nIn accordance with Article 41(6), the Commission shall report annually to the European Parliament and to the Council on \nthe activities supported by Union trust funds referred to in Article 234, on their implementation and performance, as well \nas on their accounts. \nThe Board of the Union trust fund concerned shall approve the annual report of the Union trust fund drawn up by the \nauthorising officer. It shall also approve the final accounts drawn up by the accounting officer. The final accounts shall be \npresented by the Board to the European Parliament and Council in the context of the discharge procedure for the \nCommission.   \x0c ']",by the board of the union trust fund,by the board of the union trust fund
